coin_id,price_usd,fetch_date,pct_change,year,month,year_month,risk_level,rolling_7d_trend,rolling_7d_variance
bitcoin,93576.16588574,2025-04-23,7.002830815055328,2025,4,2025-04,Low Risk,11.8576252745884,9223614.278484171
bitcoin,93605.45230873,2025-04-24,0.0312968828256599,2025,4,2025-04,Low Risk,11.294910947121428,14110520.911196839
bitcoin,93872.81422867,2025-04-25,0.28562643878711214,2025,4,2025-04,Low Risk,10.52844694891888,16774151.83383007
bitcoin,94773.11200644,2025-04-26,0.9590612417104127,2025,4,2025-04,Low Risk,12.245531926758346,18565437.336679995
bitcoin,94644.0663712,2025-04-27,-0.13616270744727377,2025,4,2025-04,Low Risk,11.18028553574566,16425399.281557348
bitcoin,93809.33781968,2025-04-28,-0.881966068793083,2025,4,2025-04,Low Risk,10.269010592276985,11888478.274041923
bitcoin,95030.60645474,2025-04-29,1.3018625474230605,2025,4,2025-04,Low Risk,8.665960060223266,5238838.818850029
bitcoin,94256.35946318,2025-04-30,-0.8147343476427871,2025,4,2025-04,Low Risk,0.726887633193396,277616.31606230035
bitcoin,94235.75331048,2025-05-01,-0.02186181687618971,2025,5,2025-05,Low Risk,0.6733592821827505,222993.58387313964
bitcoin,96426.94522273,2025-05-02,2.325223532761145,2025,5,2025-05,Low Risk,2.7208420404210454,619002.6087806954
bitcoin,96855.56813439,2025-05-03,0.4445053306106006,2025,5,2025-05,Low Risk,2.197306898404361,1026629.2643471118
bitcoin,95922.86842404,2025-05-04,-0.9629799590415433,2025,5,2025-05,Low Risk,1.3511698111368764,1104859.220257928
bitcoin,94326.62048529,2025-05-05,-1.6640952934117603,2025,5,2025-05,Low Risk,0.5514191632013388,1155849.3112173565
bitcoin,94758.82371055,2025-05-06,0.4581985690109702,2025,5,2025-05,Low Risk,-0.28599495923393725,946186.3250702429
bitcoin,96854.53198816,2025-05-07,2.2116233565874,2025,5,2025-05,Low Risk,2.7564957311924987,1220632.7306413846
bitcoin,97026.49376967,2025-05-08,0.17754644824572452,2025,5,2025-05,Low Risk,2.961445482369429,1230057.683190832
bitcoin,103076.27555513,2025-05-09,6.235185412163302,2025,5,2025-05,Low Risk,6.8957181180438365,6318952.1720258985
bitcoin,102962.54045692,2025-05-10,-0.11034071380390253,2025,5,2025-05,Low Risk,6.305236178116669,10208043.448853856
bitcoin,104630.87929942,2025-05-11,1.62033574064544,2025,5,2025-05,Low Risk,9.07813852780659,15134289.04573115
bitcoin,103994.06161675,2025-05-12,-0.6086326397464759,2025,5,2025-05,Low Risk,10.2489001320339,16666072.848199984
bitcoin,102876.8304286,2025-05-13,-1.0743221014554938,2025,5,2025-05,Low Risk,8.567019302442214,13168094.267839521
bitcoin,104184.49039271,2025-05-14,1.271092780232519,2025,5,2025-05,Low Risk,7.5680076647792305,8714462.709473412
bitcoin,103594.42575091,2025-05-15,-0.566365146650738,2025,5,2025-05,Low Risk,6.769215011346819,5095936.028364665
cardano,0.84426102,2025-01-01,,2025,1,2025-01,Low Risk,,
cardano,0.91475833,2025-01-02,8.350179426736993,2025,1,2025-01,Low Risk,,
cardano,0.9618481,2025-01-03,5.147782584281035,2025,1,2025-01,Low Risk,,
cardano,1.09048655,2025-01-04,13.374092021390904,2025,1,2025-01,Low Risk,,
cardano,1.07192051,2025-01-05,-1.7025464458961026,2025,1,2025-01,Low Risk,,
cardano,1.09397671,2025-01-06,2.057633919141999,2025,1,2025-01,Low Risk,,
cardano,1.09414754,2025-01-07,0.015615506110733257,2025,1,2025-01,Low Risk,,
cardano,0.99333474,2025-01-08,-9.21382138280913,2025,1,2025-01,Low Risk,17.657302240484807,0.007944089863445494
cardano,0.94789953,2025-01-09,-4.574007952243764,2025,1,2025-01,Low Risk,3.622945964318247,0.004874088690524463
cardano,0.90605821,2025-01-10,-4.414109161969948,2025,1,2025-01,Low Risk,-5.800280730398077,0.005113547473764924
cardano,0.93167131,2025-01-11,2.8268713552079605,2025,1,2025-01,Low Risk,-14.563704614238482,0.0056515485793932185
